codigo_reg,localidade,idade,perc,sexo
1,Paranaguá,35-39,3.33,m
1,Paranaguá,40-44,3.26,m
1,Paranaguá,45-49,3.22,m
1,Paranaguá,50-54,3.13,m
1,Paranaguá,55-59,2.93,m
1,Paranaguá,60-64,2.4,m
1,Paranaguá,65-69,1.83,m
1,Paranaguá,70-74,1.29,m
1,Paranaguá,75-79,0.8,m
1,Paranaguá,80+,0.78,m
13,Cianorte,0-4,3.27,m
13,Cianorte,5-9,3.3,m
13,Cianorte,10-14,3.24,m
13,Cianorte,15-19,3.31,m
13,Cianorte,20-24,3.87,m
13,Cianorte,25-29,4.12,m
13,Cianorte,30-34,4.02,m
13,Cianorte,35-39,3.76,m
13,Cianorte,40-44,3.58,m
13,Cianorte,45-49,3.35,m
13,Cianorte,50-54,3.33,m
13,Cianorte,55-59,2.96,m
13,Cianorte,60-64,2.3,m
13,Cianorte,65-69,1.8,m
13,Cianorte,70-74,1.33,m
13,Cianorte,75-79,0.88,m
13,Cianorte,80+,1.02,m
6,União da Vitória,0-4,3.86,m
6,União da Vitória,5-9,3.74,m
6,União da Vitória,10-14,3.46,m
6,União da Vitória,15-19,3.7,m
6,União da Vitória,20-24,4.16,m
6,União da Vitória,25-29,4.15,m
6,União da Vitória,30-34,3.77,m
6,União da Vitória,35-39,3.62,m
6,União da Vitória,40-44,3.6,m
6,União da Vitória,45-49,3.39,m
6,União da Vitória,50-54,3.15,m
6,União da Vitória,55-59,2.84,m
6,União da Vitória,60-64,2.32,m
6,União da Vitória,65-69,1.77,m
6,União da Vitória,70-74,1.2,m
6,União da Vitória,75-79,0.75,m
6,União da Vitória,80+,0.81,m
2,Curitiba,0-4,3.55,m
2,Curitiba,5-9,3.45,m
2,Curitiba,10-14,3.37,m
2,Curitiba,15-19,3.69,m
2,Curitiba,20-24,4.17,m
2,Curitiba,25-29,4.01,m
2,Curitiba,30-34,3.83,m
2,Curitiba,35-39,3.85,m
2,Curitiba,40-44,3.67,m
2,Curitiba,45-49,3.28,m
2,Curitiba,50-54,2.94,m
2,Curitiba,55-59,2.53,m
2,Curitiba,60-64,2.06,m
2,Curitiba,65-69,1.6,m
2,Curitiba,70-74,1.11,m
2,Curitiba,75-79,0.68,m
2,Curitiba,80+,0.68,m
15,Maringá,0-4,2.99,m
15,Maringá,5-9,3.06,m
15,Maringá,10-14,3.15,m
15,Maringá,15-19,3.38,m
15,Maringá,20-24,3.73,m
15,Maringá,25-29,3.9,m
15,Maringá,30-34,4.1,m
15,Maringá,35-39,3.89,m
15,Maringá,40-44,3.51,m
15,Maringá,45-49,3.24,m
15,Maringá,50-54,3.19,m
15,Maringá,55-59,2.92,m
15,Maringá,60-64,2.4,m
15,Maringá,65-69,1.94,m
15,Maringá,70-74,1.44,m
15,Maringá,75-79,0.96,m
15,Maringá,80+,1.02,m
19,Jacarezinho,0-4,3.42,m
19,Jacarezinho,5-9,3.41,m
19,Jacarezinho,10-14,3.19,m
19,Jacarezinho,15-19,3.2,m
19,Jacarezinho,20-24,3.59,m
19,Jacarezinho,25-29,3.82,m
19,Jacarezinho,30-34,3.72,m
19,Jacarezinho,35-39,3.65,m
19,Jacarezinho,40-44,3.45,m
19,Jacarezinho,45-49,3.26,m
19,Jacarezinho,50-54,3.28,m
19,Jacarezinho,55-59,3.17,m
19,Jacarezinho,60-64,2.67,m
19,Jacarezinho,65-69,2.12,m
19,Jacarezinho,70-74,1.6,m
19,Jacarezinho,75-79,1.02,m
19,Jacarezinho,80+,1.15,m
11,Campo Mourão,0-4,3.1,m
11,Campo Mourão,5-9,3.15,m
11,Campo Mourão,10-14,2.96,m
11,Campo Mourão,15-19,3.05,m
11,Campo Mourão,20-24,3.47,m
11,Campo Mourão,25-29,3.89,m
11,Campo Mourão,30-34,3.77,m
11,Campo Mourão,35-39,3.55,m
11,Campo Mourão,40-44,3.34,m
11,Campo Mourão,45-49,3.31,m
11,Campo Mourão,50-54,3.42,m
11,Campo Mourão,55-59,3.3,m
11,Campo Mourão,60-64,2.67,m
11,Campo Mourão,65-69,2.09,m
11,Campo Mourão,70-74,1.58,m
11,Campo Mourão,75-79,1.12,m
11,Campo Mourão,80+,1.39,m
9,Foz do Iguaçu,0-4,3.63,m
9,Foz do Iguaçu,5-9,3.56,m
9,Foz do Iguaçu,10-14,3.34,m
9,Foz do Iguaçu,15-19,3.39,m
9,Foz do Iguaçu,20-24,3.86,m
9,Foz do Iguaçu,25-29,4.02,m
9,Foz do Iguaçu,30-34,3.69,m
9,Foz do Iguaçu,35-39,3.4,m
9,Foz do Iguaçu,40-44,3.25,m
9,Foz do Iguaçu,45-49,3.16,m
9,Foz do Iguaçu,50-54,3.08,m
9,Foz do Iguaçu,55-59,2.79,m
9,Foz do Iguaçu,60-64,2.32,m
9,Foz do Iguaçu,65-69,1.8,m
9,Foz do Iguaçu,70-74,1.25,m
9,Foz do Iguaçu,75-79,0.8,m
9,Foz do Iguaçu,80+,0.81,m
16,Apucarana,0-4,3.26,m
16,Apucarana,5-9,3.28,m
16,Apucarana,10-14,3.2,m
16,Apucarana,15-19,3.28,m
16,Apucarana,20-24,3.71,m
16,Apucarana,25-29,3.87,m
16,Apucarana,30-34,3.85,m
16,Apucarana,35-39,3.75,m
16,Apucarana,40-44,3.56,m
16,Apucarana,45-49,3.27,m
16,Apucarana,50-54,3.23,m
16,Apucarana,55-59,2.91,m
16,Apucarana,60-64,2.42,m
16,Apucarana,65-69,1.92,m
16,Apucarana,70-74,1.43,m
