bairro,distrito,codigo,População Projetada - Total (Habitante) (2021),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento  (Real),Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento (Real)
Campo De Santana,DSTQ,71,51.942,"580,00","800,00","627,14","948,02"
Capão Raso,DSPN,58,38.275,"760,00","1.020,00","1.127,82","1.583,19"
Capão Da Imbuia,DSCJ,20,19.815,"800,00","1.100,00","1.253,43","1.766,95"
Cascatinha,DSSF,47,2.292,"1.000,00","1.500,00","2.222,34","3.062,88"
Caximba,DSTQ,70,2.5839999999999996,"510,00","700,00","559,51","896,94"
Centro,DSMZ,1,43.381,"1.300,00","2.000,00","2.393,49","3.089,91"
Centro Cívico,DSMZ,3,4.803999999999999,"2.000,00","2.600,00","3.170,22","3.979,43"
Cidade Industrial De Curitiba,DSCIC,75,192.923,"600,00","850,00","779,67","1.137,65"
Cristo Rei,DSMZ,6,14.41,"1.800,00","2.500,00","2.856,15","3.711,95"
Fanny,DSPN,39,9.133,"800,00","1.200,00","1.308,01","1.844,16"
Fazendinha,DSPR,42,30.628,"700,00","1.000,00","984,18","1.379,68"
Ganchinho,DSBN,72,16.22,"510,00","750,00","615,91","949,09"
Guabirotuba,DSCJ,23,12.485999999999999,"1.000,00","1.500,00","1.746,35","2.488,20"
Guaíra,DSPR,26,15.735999999999999,"700,00","1.021,00","1.191,34","1.696,24"
Hauer,DSBQ,38,12.614,"800,00","1.200,00","1.336,02","1.869,35"
Hugo Lange,DSMZ,17,3.6860000000000004,"1.500,00","2.500,00","3.143,61","4.391,36"
Jardim Botânico,DSMZ,7,6.197,"1.000,00","1.500,00","1.853,29","2.492,19"
Jardim Social,DSMZ,18,5.192,"1.500,00","3.000,00","3.265,90","4.779,28"
Jardim Das Américas,DSCJ,22,17.076,"1.100,00","2.000,00","2.164,60","3.062,90"
Juvevê,DSMZ,15,11.975999999999999,"1.800,00","3.000,00","3.323,66","4.445,87"
Lamenha Pequena,DSSF,62,1.521,"600,00","800,00","815,34","1.102,01"
Lindóia,DSPN,40,8.899,"650,00","1.000,00","978,59","1.390,58"
Mercês,DSMZ,12,11.36,"1.100,00","1.800,00","2.236,09","3.037,18"
Mossunguê,DSSF,45,14.945,"1.200,00","2.500,00","3.583,90","5.039,38"
Novo Mundo,DSPN,41,45.455,"800,00","1.100,00","1.231,25","1.726,69"
Orleans,DSSF,59,9.211,"700,00","1.150,00","1.344,47","1.941,71"
Parolin,DSPR,25,10.994000000000002,"600,00","1.000,00","1.184,42","1.734,00"
Pilarzinho,DSBV,32,29.23,"700,00","1.000,00","1.272,11","1.839,08"
Pinheirinho,DSPN,66,51.333,"600,00","900,00","844,62","1.251,29"
Portão,DSPR,27,45.184,"1.000,00","1.750,00","1.861,34","2.575,50"
Prado Velho,DSMZ,24,4.7589999999999995,"510,00","700,00","691,78","1.065,29"
Rebouças,DSMZ,8,13.933,"1.200,00","1.800,00","2.163,96","2.831,12"
Riviera,DSCIC,69,402.0,"510,00","800,00","770,79","1.170,29"
Santa Cândida,DSBV,53,39.27,"680,00","1.000,00","1.050,12","1.471,80"
Santa Felicidade,DSSF,63,39.899,"800,00","1.200,00","1.652,46","2.352,71"
Santa Quitéria,DSPR,43,12.54,"800,00","1.100,00","1.462,02","2.019,30"
Santo Inácio,DSSF,46,7.0920000000000005,"800,00","1.200,00","1.785,67","2.568,38"
