idade,localidade,perc,sexo
60-64,CIC,1.26,m
65-69,CIC,0.79,m
70-74,CIC,0.52,m
75-79,CIC,0.3,m
80+,CIC,0.25,m
0-4,Matriz,1.89,m
5-9,Matriz,1.84,m
10-14,Matriz,2.06,m
15-19,Matriz,3.14,m
20-24,Matriz,5.01,m
25-29,Matriz,5.25,m
30-34,Matriz,4.22,m
35-39,Matriz,3.26,m
40-44,Matriz,2.91,m
45-49,Matriz,3.08,m
50-54,Matriz,3.0,m
55-59,Matriz,2.76,m
60-64,Matriz,2.19,m
65-69,Matriz,1.56,m
70-74,Matriz,1.2,m
75-79,Matriz,0.93,m
80+,Matriz,1.1,m
0-4,Portão,2.67,m
5-9,Portão,2.61,m
10-14,Portão,2.97,m
15-19,Portão,3.51,m
20-24,Portão,4.26,m
25-29,Portão,4.77,m
30-34,Portão,4.34,m
35-39,Portão,3.42,m
40-44,Portão,3.23,m
45-49,Portão,3.31,m
50-54,Portão,3.09,m
55-59,Portão,2.58,m
60-64,Portão,1.97,m
65-69,Portão,1.36,m
70-74,Portão,1.02,m
75-79,Portão,0.7,m
80+,Portão,0.68,m
0-4,Tatuquara,4.36,m
5-9,Tatuquara,4.7,m
10-14,Tatuquara,5.67,m
15-19,Tatuquara,4.87,m
20-24,Tatuquara,4.36,m
25-29,Tatuquara,4.64,m
30-34,Tatuquara,4.69,m
35-39,Tatuquara,4.34,m
40-44,Tatuquara,3.64,m
45-49,Tatuquara,2.76,m
50-54,Tatuquara,2.0,m
55-59,Tatuquara,1.31,m
60-64,Tatuquara,0.88,m
65-69,Tatuquara,0.54,m
70-74,Tatuquara,0.33,m
75-79,Tatuquara,0.23,m
80+,Tatuquara,0.16,m
0-4,Pinheirinho,3.21,m
5-9,Pinheirinho,3.31,m
10-14,Pinheirinho,3.87,m
15-19,Pinheirinho,4.01,m
20-24,Pinheirinho,4.57,m
25-29,Pinheirinho,4.59,m
30-34,Pinheirinho,4.45,m
35-39,Pinheirinho,3.81,m
40-44,Pinheirinho,3.72,m
45-49,Pinheirinho,3.28,m
50-54,Pinheirinho,2.69,m
55-59,Pinheirinho,2.21,m
60-64,Pinheirinho,1.57,m
65-69,Pinheirinho,1.09,m
70-74,Pinheirinho,0.8,m
75-79,Pinheirinho,0.52,m
80+,Pinheirinho,0.45,m
0-4,Cajuru,3.32,m
5-9,Cajuru,3.4,m
10-14,Cajuru,4.03,m
15-19,Cajuru,4.19,m
20-24,Cajuru,4.55,m
25-29,Cajuru,4.38,m
30-34,Cajuru,4.1,m
35-39,Cajuru,3.77,m
40-44,Cajuru,3.56,m
45-49,Cajuru,3.24,m
50-54,Cajuru,2.69,m
55-59,Cajuru,2.22,m
60-64,Cajuru,1.67,m
65-69,Cajuru,1.15,m
70-74,Cajuru,0.81,m
75-79,Cajuru,0.53,m
80+,Cajuru,0.46,m
0-4,Bairro Novo,3.63,f
5-9,Bairro Novo,3.99,f
10-14,Bairro Novo,4.57,f
15-19,Bairro Novo,4.7,f
20-24,Bairro Novo,4.78,f
25-29,Bairro Novo,4.71,f
30-34,Bairro Novo,4.5,f
35-39,Bairro Novo,4.23,f
40-44,Bairro Novo,3.94,f
45-49,Bairro Novo,3.39,f
50-54,Bairro Novo,2.82,f
55-59,Bairro Novo,2.15,f
60-64,Bairro Novo,1.44,f
65-69,Bairro Novo,0.95,f
70-74,Bairro Novo,0.64,f
75-79,Bairro Novo,0.39,f
80+,Bairro Novo,0.39,f
0-4,Santa Felicidade,3.06,f
5-9,Santa Felicidade,3.15,f
10-14,Santa Felicidade,3.56,f
15-19,Santa Felicidade,3.71,f
