codigo,localidade,idade,perc,sexo
4127403,Terra Roxa,25-29,0.04224042763349021,m
4127403,Terra Roxa,30-34,0.03637208761838359,m
4127403,Terra Roxa,35-39,0.03451281157399338,m
4127403,Terra Roxa,40-44,0.03358317355179827,m
4127403,Terra Roxa,45-49,0.03404799256289582,m
4127403,Terra Roxa,50-54,0.033699378304572654,m
4127403,Terra Roxa,55-59,0.03230492127128,m
4127403,Terra Roxa,60-64,0.026727093138109347,m
4127403,Terra Roxa,65-69,0.020335831735517982,m
4127403,Terra Roxa,70-74,0.015222822613444889,m
4127403,Terra Roxa,75-79,0.012433908546859567,m
4127403,Terra Roxa,80+,0.016210563012027192,m
4105706,Clevelândia,0-4,0.038030285516125306,m
4105706,Clevelândia,5-9,0.03774130158363195,m
4105706,Clevelândia,10-14,0.03398451046121836,m
4105706,Clevelândia,15-19,0.03300196509074096,m
4105706,Clevelândia,20-24,0.03855045659461334,m
4105706,Clevelândia,25-29,0.03918622124609872,m
4105706,Clevelândia,30-34,0.03225060686625823,m
4105706,Clevelândia,35-39,0.03178823257426887,m
4105706,Clevelândia,40-44,0.02999653219281008,m
4105706,Clevelândia,45-49,0.02895619003583401,m
4105706,Clevelândia,50-54,0.029823141833314068,m
4105706,Clevelândia,55-59,0.032481794012252915,m
4105706,Clevelândia,60-64,0.027048896081377876,m
4105706,Clevelândia,65-69,0.02080684313952144,m
4105706,Clevelândia,70-74,0.01444919662466767,m
4105706,Clevelândia,75-79,0.009998844064270027,m
4105706,Clevelândia,80+,0.01196393480522483,m
4109708,Ibaiti,0-4,0.038326062368718695,m
4109708,Ibaiti,5-9,0.03677492325092907,m
4109708,Ibaiti,10-14,0.03367264501534981,m
4109708,Ibaiti,15-19,0.03399579899822265,m
4109708,Ibaiti,20-24,0.038229116173856846,m
4109708,Ibaiti,25-29,0.04129907901114881,m
4109708,Ibaiti,30-34,0.038423008563580545,m
4109708,Ibaiti,35-39,0.03829374697043141,m
4109708,Ibaiti,40-44,0.036936500242365486,m
4109708,Ibaiti,45-49,0.032347713685571176,m
4109708,Ibaiti,50-54,0.031766036516400066,m
4109708,Ibaiti,55-59,0.030117951203748588,m
4109708,Ibaiti,60-64,0.02368718694457909,m
4109708,Ibaiti,65-69,0.019453869768944903,m
4109708,Ibaiti,70-74,0.013443205687510099,m
4109708,Ibaiti,75-79,0.00888673452900307,m
4109708,Ibaiti,80+,0.008434318952981095,m
4119103,Piên,0-4,0.04096791484799755,m
4119103,Piên,5-9,0.03874722413661077,m
4119103,Piên,10-14,0.03415269163029328,m
4119103,Piên,15-19,0.036449957883452025,m
4119103,Piên,20-24,0.041503943640401254,m
4119103,Piên,25-29,0.04119764147331342,m
4119103,Piên,30-34,0.03591392909104832,m
4119103,Piên,35-39,0.03966613063787426,m
4119103,Piên,40-44,0.039742706179646224,m
4119103,Piên,45-49,0.03652653342522398,m
4119103,Piên,50-54,0.033616662837889576,m
4119103,Piên,55-59,0.026648288536641397,m
4119103,Piên,60-64,0.021594302779692168,m
4119103,Piên,65-69,0.017382647982234475,m
4119103,Piên,70-74,0.010797151389846084,m
4119103,Piên,75-79,0.005896316716440769,m
4119103,Piên,80+,0.0037522015468259436,m
4127304,Terra Rica,0-4,0.0361206745638093,m
4127304,Terra Rica,5-9,0.036587500729415884,m
4127304,Terra Rica,10-14,0.03635408764661259,m
4127304,Terra Rica,15-19,0.034253369901382974,m
4127304,Terra Rica,20-24,0.035537141856801076,m
4127304,Terra Rica,25-29,0.03874657174534633,m
4127304,Terra Rica,30-34,0.03687926708292,m
4127304,Terra Rica,35-39,0.03693762035362082,m
4127304,Terra Rica,40-44,0.032794538133862405,m
4127304,Terra Rica,45-49,0.03302795121666569,m
4127304,Terra Rica,50-54,0.03361148392367392,m
4127304,Terra Rica,55-59,0.030752173659333606,m
4127304,Terra Rica,60-64,0.02538367275485791,m
4127304,Terra Rica,65-69,0.01843963354146,m
4127304,Terra Rica,70-74,0.014821730758008987,m
4127304,Terra Rica,75-79,0.00986170274843905,m
4127304,Terra Rica,80+,0.013713018614693354,m
4114609,Marechal Cândido Rondon,0-4,0.029474953827597905,m
4114609,Marechal Cândido Rondon,5-9,0.029851871395725756,m
4114609,Marechal Cândido Rondon,10-14,0.029625720854849043,m
4114609,Marechal Cândido Rondon,15-19,0.03162338396592665,m
4114609,Marechal Cândido Rondon,20-24,0.03608985714824168,m
4114609,Marechal Cândido Rondon,25-29,0.04027364215446082,m
4114609,Marechal Cândido Rondon,30-34,0.04178131242697222,m
4114609,Marechal Cândido Rondon,35-39,0.038671742489917456,m
4114609,Marechal Cândido Rondon,40-44,0.0350344879574837,m
4114609,Marechal Cândido Rondon,45-49,0.03348912592815951,m
4114609,Marechal Cândido Rondon,50-54,0.032754136670310206,m
4114609,Marechal Cândido Rondon,55-59,0.03051147713994949,m
4114609,Marechal Cândido Rondon,60-64,0.023802344427273754,m
4114609,Marechal Cândido Rondon,65-69,0.019015491312050055,m
4114609,Marechal Cândido Rondon,70-74,0.014699785156986167,m
4114609,Marechal Cândido Rondon,75-79,0.008951792243036449,m
4114609,Marechal Cândido Rondon,80+,0.007802193660246504,m
4125209,São Jorge d'Oeste,0-4,0.02913978494623656,m
4125209,São Jorge d'Oeste,5-9,0.02978494623655914,m
4125209,São Jorge d'Oeste,10-14,0.02924731182795699,m
4125209,São Jorge d'Oeste,15-19,0.027526881720430108,m
4125209,São Jorge d'Oeste,20-24,0.031827956989247314,m
4125209,São Jorge d'Oeste,25-29,0.038172043010752686,m
4125209,São Jorge d'Oeste,30-34,0.03795698924731183,m
4125209,São Jorge d'Oeste,35-39,0.03655913978494624,m
4125209,São Jorge d'Oeste,40-44,0.0332258064516129,m
4125209,São Jorge d'Oeste,45-49,0.03612903225806452,m
4125209,São Jorge d'Oeste,50-54,0.03763440860215054,m
4125209,São Jorge d'Oeste,55-59,0.03795698924731183,m
4125209,São Jorge d'Oeste,60-64,0.03193548387096774,m
4125209,São Jorge d'Oeste,65-69,0.024838709677419354,m
4125209,São Jorge d'Oeste,70-74,0.016559139784946237,m
4125209,São Jorge d'Oeste,75-79,0.010860215053763441,m
4125209,São Jorge d'Oeste,80+,0.01021505376344086,m
4107850,Flor da Serra do Sul,0-4,0.03204188481675393,m
4107850,Flor da Serra do Sul,5-9,0.03225130890052356,m
4107850,Flor da Serra do Sul,10-14,0.025968586387434555,m
4107850,Flor da Serra do Sul,15-19,0.028272251308900525,m
4107850,Flor da Serra do Sul,20-24,0.032670157068062824,m
4107850,Flor da Serra do Sul,25-29,0.04356020942408377,m
4107850,Flor da Serra do Sul,30-34,0.0343455497382199,m
4107850,Flor da Serra do Sul,35-39,0.029528795811518325,m
4107850,Flor da Serra do Sul,40-44,0.031413612565445025,m
4107850,Flor da Serra do Sul,45-49,0.03790575916230367,m
4107850,Flor da Serra do Sul,50-54,0.0437696335078534,m
4107850,Flor da Serra do Sul,55-59,0.038534031413612564,m
4107850,Flor da Serra do Sul,60-64,0.03225130890052356,m
4107850,Flor da Serra do Sul,65-69,0.022827225130890052,m
4107850,Flor da Serra do Sul,70-74,0.016544502617801046,m
4107850,Flor da Serra do Sul,75-79,0.01193717277486911,m
